Layers,Predictor d,Parameters,Selected epoch,Pixel AP,2D IoU,Threshold
1,128,365088,3,0.7933332783279905,0.5127593407809681,0.06
1,384,1878560,5,0.7925281863499464,0.5037433400480293,0.06
2,384,3062432,3,0.7842046660946715,0.4950602085144708,0.06
1,768,6114848,3,0.8024674553055363,0.5179073930747279,0.06
