Backbone,Pixel AP,2D IoU,Threshold,Selected epoch
Micro,0.7288749768396234,0.47432581490250975,0.05,3
Base,0.8031694824772342,0.5029744864343559,0.1,2
Large,0.7933325953789895,0.5127616533112689,0.06,3
