condition,mask_ap,mean_2d_iou,pooled_precision,pooled_recall,threshold
soft_tv,0.7680763452022632,0.5163220617143566,0.6193117853350772,0.7196721347306736,0.08
soft_no_tv,0.7681088542234215,0.5163244737338069,0.6192277366462264,0.7198284805199596,0.08
hard_tv,0.7973471927002806,0.5416444556851184,0.6968498021324333,0.6636358771869015,0.08
hard_no_tv,0.797376953258341,0.5416688585034545,0.6968596183733817,0.6636789977549511,0.08
