Model,WABAD Pixel AP,WABAD 2D IoU,WABAD Pixel precision,WABAD Pixel recall,Hawaii Pixel AP,Hawaii 2D IoU,Hawaii Pixel precision,Hawaii Pixel recall
YOLO11n (released),0.5518274259413599,0.3466716766418041,0.5673761751858786,0.5388263046609844,0.5410814338969631,0.3691162205606525,0.49830489852668575,0.6085418502129704
YOLO11l (released),0.5492876072487354,0.35403340553087626,0.5349214917385428,0.5885652217940445,0.5462568917875456,0.38057231218151244,0.48960007919031157,0.7009324949083573
YOLO11n (our teacher labels),0.5275494432129874,0.333277644331369,0.47064166032148735,0.6154592184295529,0.5758425005261746,0.3677053145634439,0.4510327437530178,0.6865872599044247
SongMAE-Large (ours),0.6036126710259722,0.36327348613163085,0.5518537868916219,0.6041601782262891,0.6692504168195366,0.4350131096428116,0.5940969832336425,0.7037651552790187
