Model,XC-AJ Frame AP,XC-AJ Temporal IoU,XC-AJ Frame precision,XC-AJ Frame recall,NIPS4Bplus Frame AP,NIPS4Bplus Temporal IoU,NIPS4Bplus Frame precision,NIPS4Bplus Frame recall
BirdCODE,0.8358435986329538,0.5264741503677842,0.5033778089178506,0.9468458076209665,0.6569119409690548,0.5448123565961819,0.5735408836252748,0.8825956770545585
YOLO11n (released),0.6997353706189146,0.5461813428882514,0.5628585053142852,0.8364324543094864,0.629960007807422,0.4545786123663508,0.6293904491456201,0.7830751706874561
YOLO11n (our teacher labels),0.7535780402659357,0.47222640011270517,0.44808938088963035,0.9636031966008902,0.702229487745273,0.47824564417015564,0.5867018104161456,0.8319862495140268
SongMAE-Large (ours),0.8968597527702222,0.4677109319677613,0.44230957608401783,0.9896137501470235,0.8229253646995655,0.5207927200237802,0.6229365947330858,0.827518705708225
