Target policy,Pixel AP,2D IoU,Precision,Recall,Threshold,Epoch
Included,0.7925281863499464,0.5037433400480293,0.6119580641849189,0.7508493581055504,0.06,5
Confidence,0.790121871269757,0.5248593286826281,0.6061870943487807,0.7501407236556628,0.04,5
