Configuration,Epoch,Training BCE,XC validation BCE
micro_d128,1,0.22291966589788595,0.2237599607879296
micro_d128,2,0.17894483058515823,0.21320949946595355
micro_d128,3,0.16866704206349273,0.203707965794811
micro_d128,4,0.16118780128432042,0.20142646800065414
micro_d128,5,0.1555112756111405,0.22622424536207691
base_d128,1,0.2053746987472881,0.21180957290162333
base_d128,2,0.1593406448761622,0.19835626367754303
base_d128,3,0.15450068043939996,0.19995716562573798
base_d128,4,0.1508223657129389,0.1954320562523324
base_d128,5,0.14426521183640667,0.1977206907333806
base_d384,1,0.19287859033228774,0.20924923227764666
base_d384,2,0.1590973021970554,0.21575244750082492
base_d384,3,0.15187264352359556,0.20869679868589155
base_d384,4,0.1500851410356435,0.2097241538599599
base_d384,5,0.1432831414947004,0.2068956670586951
large_d128,1,0.20009442260771088,0.20142986602494492
large_d128,2,0.1572247203439474,0.20968678901563398
large_d128,3,0.15081484226340597,0.19270663956822828
large_d128,4,0.14676188965412704,0.19511272148112765
large_d128,5,0.14098662016631075,0.20138615765529685
large_d768,1,0.1995682701694243,0.23364653840148822
large_d768,2,0.1648894123958819,0.2209515253698919
large_d768,3,0.1586139676245776,0.2049887361148838
large_d768,4,0.15507717927296957,0.20690846928292886
large_d768,5,0.15595271517381523,0.21088623712463303
