Model	XC-AJ Frame AP	XC-AJ Temporal IoU	XC-AJ Frame precision	XC-AJ Frame recall	NIPS4Bplus Frame AP	NIPS4Bplus Temporal IoU	NIPS4Bplus Frame precision	NIPS4Bplus Frame recall
BirdCODE	0.8358435986329538	0.5264741503677842	0.5033778089178506	0.9468458076209665	0.6569119409690548	0.5448123565961819	0.5735408836252748	0.8825956770545585
YOLO11n (released)	0.6997353706189146	0.5461813428882514	0.5628585053142852	0.8364324543094864	0.629960007807422	0.4545786123663508	0.6293904491456201	0.7830751706874561
YOLO11n (our teacher labels)	0.7347580107500745	0.4658454924814916	0.4451655014379611	0.9571297802720428	0.7042403828277141	0.44116499979236085	0.5459676468147009	0.8524346408572228
SongMAE-Large (ours)	Pending	Pending	Pending	Pending	Pending	Pending	Pending	Pending
