Model	WABAD Pixel AP	WABAD 2D IoU	WABAD Pixel precision	WABAD Pixel recall	Hawaii Pixel AP	Hawaii 2D IoU	Hawaii Pixel precision	Hawaii Pixel recall
YOLO11n (released)	0.5518274259413599	0.3466716766418041	0.5673761751858786	0.5388263046609844	0.5410814338969631	0.3691162205606525	0.49830489852668575	0.6085418502129704
YOLO11n (our teacher labels)	0.5243900333923528	0.33423779657198344	0.47663723110821365	0.6121381683609437	0.5767793108411121	0.3844440491226884	0.524338099077665	0.6717244200666229
SongMAE-Large (ours)	Pending	Pending	Pending	Pending	Pending	Pending	Pending	Pending
