dataset,Pixel AP mean,Pixel AP SD,2D IoU mean,2D IoU SD
expanded10k,0.7873821034783978,0.009383022709339146,0.4972795623592714,0.017960989622976292
expanded20k,0.8126800853179507,0.000704419690140451,0.5381386901379315,0.013446531068817899
