Panel,Configuration,Mask AP,2D IoU
a,100 s,0.40409005729018777,0.22295250435070482
a,1000 s,0.7502580616719903,0.5063162759050007
a,10000 s,0.7933325953789895,0.5127616533112689
b,Micro,0.7288749768396234,0.47432581490250975
b,Base,0.8031694824772342,0.5029744864343559
b,Large,0.7933325953789895,0.5127616533112689
