Predictor d,Trainable parameters,Selected epoch,Mask AP,2D IoU,Threshold
128,365088,3,0.7933332783279905,0.5127593407809681,0.06
384,1878560,5,0.7925281863499464,0.5037433400480293,0.06
768,6114848,3,0.8024674553055363,0.5179073930747279,0.06
