width,Pixel AP mean,Pixel AP SD,2D IoU mean,2D IoU SD
128,0.7975393986242832,0.004578601594623617,0.5084493876447106,0.01107426552157565
384,0.7936677782248105,0.0012029221092341856,0.5151289991250212,0.011376421627965991
768,0.7958334011124447,0.007304335058018513,0.5302855737589437,0.011895995982574362
