Uncertain supervision,Pixel AP,2D IoU,Precision,Recall,Threshold,Epoch
Included,0.7925281863499464,0.5037433400480293,0.6119580641849189,0.7508493581055504,0.06,5
Ignored,0.791853409541354,0.49311983533998305,0.54691391349472,0.7953793757646411,0.04,3
